date,lq45,jci,idx30,eido,spy,dom_b,dom_s,for_b,for_s
2012-04-24,709.97,4170.35,358.94,30.88,137.31,3.2003,2.8412,1.2536,1.6128
2012-04-25,708,4163.64,357.35,30.88,139.19,3.0555,2.6918,1.9225,2.2862
2012-04-26,712.2,4180.31,359.55,31.13,140.16,3.3293,3.8457,2.835,2.3186
2012-04-27,708.39,4163.98,357.52,31.14,140.39,3.5716,4.6417,3.7988,2.7288
2012-04-30,711.38,4180.73,359.05,30.93,139.87,2.8769,3.2943,2.5111,2.0937
2012-05-01,714.42,4195.98,360.56,31.16,140.74,3.0749,3.0685,1.25,1.2564
2012-05-02,718.51,4219.3,362.74,31.25,140.32,3.6862,3.9249,2.4889,2.2502
2012-05-03,717.78,4224,362.19,30.98,139.25,3.0661,3.0265,1.9234,1.963
2012-05-04,716.22,4216.68,361.79,30.87,137,2.9881,3.4996,4.1182,3.6068
2012-05-07,706.73,4158.86,357.08,30.97,137.1,2.6824,2.4156,2.3467,2.6135
2012-05-08,710.12,4181.07,358.58,30.81,136.55,3.2094,3.0344,1.972,2.147
2012-05-09,699.38,4129.06,353.23,30.25,135.74,2.9366,2.1963,1.7871,2.5274
2012-05-10,699.97,4133.63,353.79,30.35,136.02,2.6092,2.2994,2.375,2.6848
2012-05-11,696.54,4114.14,351.94,30.22,135.61,2.7143,2.3951,3.4669,3.7862
2012-05-14,686.86,4053.07,347.3,29.53,134.11,2.306,2.1082,1.1722,1.37
2012-05-15,686.31,4045.64,347.09,29.3,133.34,3.168,2.601,1.8161,2.3832
2012-05-16,675.03,3980.5,341.32,28.89,132.83,3.2726,2.554,2.3055,3.0241
2012-05-21,665.02,3940.11,335.46,28.95,131.97,4.2262,2.8148,2.8375,4.2489
2012-05-22,679.19,4021.1,342.88,29.13,132.2,2.9766,2.8188,2.259,2.4169
2012-05-23,673.89,3981.58,340.47,28.94,132.27,2.3239,2.1283,2.0922,2.2878
2012-05-24,674.1,3984.87,340.3,28.46,132.53,2.4627,1.9298,1.2597,1.7925
2012-05-25,657.88,3902.51,331.76,26.78,132.1,2.8534,1.8816,2.0115,2.9833
2012-05-28,660.64,3918.68,332.86,26.78,132.1,1.9099,1.4829,1.0467,1.4737
2012-05-29,660.92,3919.07,333.22,27.38,133.7,1.852,1.4375,0.8571,1.2716
2012-05-30,663.96,3917.92,335.01,27.24,131.76,1.9948,2.1113,1.6111,1.4947
2012-05-31,645.69,3832.82,325.38,26.83,131.47,4.5881,3.4824,3.3374,4.4432
2012-06-01,641.43,3799.77,322.69,26.25,128.16,2.289,1.5956,1.9083,2.6017
2012-06-04,615.72,3654.58,310.22,25.9,128.1,2.4342,2.2028,1.5143,1.7457
2012-06-05,628.55,3717.88,316.62,26.36,129.07,2.2427,1.7529,1.0393,1.529
2012-06-06,652.73,3841.33,328.87,27.83,131.97,3.0274,2.9692,1.7148,1.7729
2012-06-07,653.12,3840.6,329.28,27.7,132.05,2.6681,2.6865,1.8162,1.7978
2012-06-08,651.79,3825.33,328.91,27.51,133.1,1.1743,1.3129,1.0242,0.8856
2012-06-11,658.08,3866.21,328.91,27.14,131.41,2.2096,1.9733,1.3629,1.5992
2012-06-12,656.71,3852.58,331.73,27.5,132.92,1.6528,1.6427,1.0099,1.02
2012-06-13,657.7,3860.46,332.4,27.32,132.07,2.223,2.2411,1.4314,1.4133
2012-06-14,645.02,3791.62,325.83,27.12,133.47,2.1316,2.0062,1.4466,1.572
2012-06-15,650.25,3818.11,327.95,27.27,134.14,2.3823,2.3391,2.6061,2.6493
2012-06-18,657.79,3860.16,332.72,27.42,134.4,2.5517,2.6657,1.8739,1.7599
2012-06-19,662.42,3880.82,334.82,27.88,135.7,1.6418,1.5934,1.3144,1.3629
2012-06-20,675.29,3943.9,341.39,28.11,135.48,2.7889,2.7163,1.3456,1.4182
2012-06-21,667.53,3901.79,337.26,26.99,132.44,2.4486,2.4725,1.6121,1.5882
2012-06-22,663.85,3889.52,335.43,27.53,133.46,2.1616,1.6987,2.4401,2.9029
2012-06-25,657.1,3857.59,331.96,27.03,131.32,1.8305,1.629,1.1573,1.3588
2012-06-26,662.81,3881.4,334.56,27.36,131.98,1.8235,1.6045,2.1359,2.3549
2012-06-27,672.58,3934.87,339.78,27.81,133.17,2.2717,2.6752,2.4073,2.0038
2012-06-28,662.72,3887.57,334.4,27.52,132.79,5.0997,4.6984,1.8422,2.2435
2012-06-29,674.79,3955.58,340.96,28.64,136.1,2.1296,2.7338,2.5318,1.9275
2012-07-02,683.12,3991.54,345.16,28.5,136.51,2.2391,2.4341,1.7734,1.5784
2012-07-03,695.66,4049.89,351.59,29.39,137.41,2.1665,2.8504,1.8814,1.1974
2012-07-04,700.33,4075.92,353.67,29.39,137.41,3.1281,3.7225,2.5803,1.9859
2012-07-05,697.57,4069.84,352.37,29.12,136.79,2.3018,2.371,1.2821,1.213
2012-07-06,694.53,4055.2,350.46,28.74,135.49,1.9978,2.1067,1.6699,1.561
2012-07-09,680.55,3985.05,343.65,28.42,135.32,2.8768,2.4197,1.26,1.717
2012-07-10,685.9,4009.68,346.01,28.05,134.14,2.0509,1.9785,1.3192,1.3916
2012-07-11,689.07,4019.13,347.44,28.45,134.16,1.9418,2.2043,1.827,1.5645
2012-07-12,680.86,3984.12,343.41,28.19,133.51,2.3813,2.2243,1.6987,1.8557
2012-07-13,687.18,4019.67,346.47,28.6,135.75,3.0841,2.5918,1.4676,1.9599
2012-07-16,691.46,4047.47,348.62,28.78,135.43,2.1586,2.3169,1.5158,1.3575
2012-07-17,697.28,4080.67,351.75,29.36,136.36,2.1903,2.1267,1.2187,1.2824
2012-07-18,697.91,4081.64,352.24,29.32,137.37,2.2956,2.6158,1.5286,1.2084
